handle|title|journal|year|vol|issue|page|end page|author
RePEc:aea:aecrev:v:100:y:2010:i:1:p:5-34|Price Indexes, Inequality, and the Measurement of World Poverty|American Economic Review|2010|100|1|5|34|Angus Deaton
RePEc:aea:aecrev:v:100:y:2010:i:1:p:35-69|Learning about a New Technology: Pineapple in Ghana|American Economic Review|2010|100|1|35|69|Timothy G. Conley
RePEc:aea:aecrev:v:100:y:2010:i:1:p:35-69|Learning about a New Technology: Pineapple in Ghana|American Economic Review|2010|100|1|35|69|Christopher R. Udry
RePEc:aea:aecrev:v:100:y:2010:i:1:p:70-97|Multiple-Product Firms and Product Switching|American Economic Review|2010|100|1|70|97|Andrew B. Bernard
RePEc:aea:aecrev:v:100:y:2010:i:1:p:70-97|Multiple-Product Firms and Product Switching|American Economic Review|2010|100|1|70|97|Stephen J. Redding
RePEc:aea:aecrev:v:100:y:2010:i:1:p:70-97|Multiple-Product Firms and Product Switching|American Economic Review|2010|100|1|70|97|Peter K. Schott
RePEc:aea:aecrev:v:100:y:2010:i:1:p:98-129|&quot;Momma's Got the Pill&quot;: How Anthony Comstock and Griswold v. Connecticut Shaped US Childbearing|American Economic Review|2010|100|1|98|129|Martha J. Bailey
RePEc:aea:aecrev:v:100:y:2010:i:1:p:130-63|Matching and Sorting in Online Dating|American Economic Review|2010|100|1|130|163|Gunter J. Hitsch
RePEc:aea:aecrev:v:100:y:2010:i:1:p:130-63|Matching and Sorting in Online Dating|American Economic Review|2010|100|1|130|163|Ali Hortaçsu
RePEc:aea:aecrev:v:100:y:2010:i:1:p:130-63|Matching and Sorting in Online Dating|American Economic Review|2010|100|1|130|163|Dan Ariely
RePEc:aea:aecrev:v:100:y:2010:i:1:p:164-92|Entry, Exit, and Investment-Specific Technical Change|American Economic Review|2010|100|1|164|192|Roberto M. Samaniego
RePEc:aea:aecrev:v:100:y:2010:i:1:p:193-213|Patient Cost-Sharing and Hospitalization Offsets in the Elderly|American Economic Review|2010|100|1|193|213|Amitabh Chandra
RePEc:aea:aecrev:v:100:y:2010:i:1:p:193-213|Patient Cost-Sharing and Hospitalization Offsets in the Elderly|American Economic Review|2010|100|1|193|213|Jonathan Gruber
RePEc:aea:aecrev:v:100:y:2010:i:1:p:193-213|Patient Cost-Sharing and Hospitalization Offsets in the Elderly|American Economic Review|2010|100|1|193|213|Robin McKnight
RePEc:aea:aecrev:v:100:y:2010:i:1:p:214-46|Contractibility and the Design of Research Agreements|American Economic Review|2010|100|1|214|246|Josh Lerner
RePEc:aea:aecrev:v:100:y:2010:i:1:p:214-46|Contractibility and the Design of Research Agreements|American Economic Review|2010|100|1|214|246|Ulrike Malmendier
RePEc:aea:aecrev:v:100:y:2010:i:1:p:247-73|Multinationals and Anti-sweatshop Activism|American Economic Review|2010|100|1|247|273|Ann Harrison
RePEc:aea:aecrev:v:100:y:2010:i:1:p:247-73|Multinationals and Anti-sweatshop Activism|American Economic Review|2010|100|1|247|273|Jason Scorse
RePEc:aea:aecrev:v:100:y:2010:i:1:p:274-303|Robustly Optimal Monetary Policy with Near-Rational Expectations|American Economic Review|2010|100|1|274|303|Michael Woodford
RePEc:aea:aecrev:v:100:y:2010:i:1:p:304-36|Currency Choice and Exchange Rate Pass-Through|American Economic Review|2010|100|1|304|336|Gita Gopinath
RePEc:aea:aecrev:v:100:y:2010:i:1:p:304-36|Currency Choice and Exchange Rate Pass-Through|American Economic Review|2010|100|1|304|336|Oleg Itskhoki
RePEc:aea:aecrev:v:100:y:2010:i:1:p:304-36|Currency Choice and Exchange Rate Pass-Through|American Economic Review|2010|100|1|304|336|Roberto Rigobon
RePEc:aea:aecrev:v:100:y:2010:i:1:p:337-63|Demographics and the Politics of Capital Taxation in a Life-Cycle Economy|American Economic Review|2010|100|1|337|363|Xavier Mateos-Planas
RePEc:aea:aecrev:v:100:y:2010:i:1:p:364-93|Can Multistage Production Explain the Home Bias in Trade?|American Economic Review|2010|100|1|364|393|Kei-Mu Yi
RePEc:aea:aecrev:v:100:y:2010:i:1:p:394-419|Trade Agreements as Endogenously Incomplete Contracts|American Economic Review|2010|100|1|394|419|Henrik Horn
RePEc:aea:aecrev:v:100:y:2010:i:1:p:394-419|Trade Agreements as Endogenously Incomplete Contracts|American Economic Review|2010|100|1|394|419|Giovanni Maggi
RePEc:aea:aecrev:v:100:y:2010:i:1:p:394-419|Trade Agreements as Endogenously Incomplete Contracts|American Economic Review|2010|100|1|394|419|Robert W. Staiger
RePEc:aea:aecrev:v:100:y:2010:i:1:p:420-47|Intergroup Conflict and Intra-group Punishment in an Experimental Contest Game|American Economic Review|2010|100|1|420|447|Klaus Abbink
RePEc:aea:aecrev:v:100:y:2010:i:1:p:420-47|Intergroup Conflict and Intra-group Punishment in an Experimental Contest Game|American Economic Review|2010|100|1|420|447|Jordi Brandts
RePEc:aea:aecrev:v:100:y:2010:i:1:p:420-47|Intergroup Conflict and Intra-group Punishment in an Experimental Contest Game|American Economic Review|2010|100|1|420|447|Benedikt Herrmann
RePEc:aea:aecrev:v:100:y:2010:i:1:p:420-47|Intergroup Conflict and Intra-group Punishment in an Experimental Contest Game|American Economic Review|2010|100|1|420|447|Henrik Orzen
RePEc:aea:aecrev:v:100:y:2010:i:1:p:448-65|Building Routines: Learning, Cooperation, and the Dynamics of Incomplete Relational Contracts|American Economic Review|2010|100|1|448|465|Sylvain Chassang
RePEc:aea:aecrev:v:100:y:2010:i:1:p:466-90|Interpersonal Authority in a Theory of the Firm|American Economic Review|2010|100|1|466|490|Eric Van den Steen
RePEc:aea:aecrev:v:100:y:2010:i:1:p:491-503|Monetary Policy Rules and Macroeconomic Stability: Some New Evidence|American Economic Review|2010|100|1|491|503|Sophocles Mavroeidis
RePEc:aea:aecrev:v:100:y:2010:i:1:p:504-17|Tournaments and Office Politics: Evidence from a Real Effort Experiment|American Economic Review|2010|100|1|504|517|Jeffrey Carpenter
RePEc:aea:aecrev:v:100:y:2010:i:1:p:504-17|Tournaments and Office Politics: Evidence from a Real Effort Experiment|American Economic Review|2010|100|1|504|517|Peter Hans Matthews
RePEc:aea:aecrev:v:100:y:2010:i:1:p:504-17|Tournaments and Office Politics: Evidence from a Real Effort Experiment|American Economic Review|2010|100|1|504|517|John Schirm
RePEc:aea:aecrev:v:100:y:2010:i:1:p:518-40|Financial Exchange Rates and International Currency Exposures|American Economic Review|2010|100|1|518|540|Philip R. Lane
RePEc:aea:aecrev:v:100:y:2010:i:1:p:518-40|Financial Exchange Rates and International Currency Exposures|American Economic Review|2010|100|1|518|540|Jay C. Shambaugh
RePEc:aea:aecrev:v:100:y:2010:i:1:p:541-56|Social Preferences, Beliefs, and the Dynamics of Free Riding in Public Goods Experiments|American Economic Review|2010|100|1|541|556|Urs Fischbacher
RePEc:aea:aecrev:v:100:y:2010:i:1:p:541-56|Social Preferences, Beliefs, and the Dynamics of Free Riding in Public Goods Experiments|American Economic Review|2010|100|1|541|556|Simon Gachter
RePEc:aea:aecrev:v:100:y:2010:i:1:p:557-71|Risk and Time Preferences: Linking Experimental and Household Survey Data from Vietnam|American Economic Review|2010|100|1|557|571|Tomomi Tanaka
RePEc:aea:aecrev:v:100:y:2010:i:1:p:557-71|Risk and Time Preferences: Linking Experimental and Household Survey Data from Vietnam|American Economic Review|2010|100|1|557|571|Colin F. Camerer
RePEc:aea:aecrev:v:100:y:2010:i:1:p:557-71|Risk and Time Preferences: Linking Experimental and Household Survey Data from Vietnam|American Economic Review|2010|100|1|557|571|Quang Nguyen
RePEc:aea:aecrev:v:100:y:2010:i:1:p:572-89|Earnings Losses of Displaced Workers Revisited|American Economic Review|2010|100|1|572|589|Kenneth A. Couch
RePEc:aea:aecrev:v:100:y:2010:i:1:p:572-89|Earnings Losses of Displaced Workers Revisited|American Economic Review|2010|100|1|572|589|Dana W. Placzek
RePEc:aea:aecrev:v:100:y:2010:i:1:p:590-607|The Effect of Medicare Part D on Pharmaceutical Prices and Utilization|American Economic Review|2010|100|1|590|607|Mark Duggan
RePEc:aea:aecrev:v:100:y:2010:i:1:p:590-607|The Effect of Medicare Part D on Pharmaceutical Prices and Utilization|American Economic Review|2010|100|1|590|607|Fiona Scott Morton
RePEc:aea:aecrev:v:100:y:2010:i:1:p:608-17|Generalizing the Taylor Principle: Comment|American Economic Review|2010|100|1|608|617|Roger E. A. Farmer
RePEc:aea:aecrev:v:100:y:2010:i:1:p:608-17|Generalizing the Taylor Principle: Comment|American Economic Review|2010|100|1|608|617|Daniel F. Waggoner
RePEc:aea:aecrev:v:100:y:2010:i:1:p:608-17|Generalizing the Taylor Principle: Comment|American Economic Review|2010|100|1|608|617|Tao Zha
RePEc:aea:aecrev:v:100:y:2010:i:1:p:618-24|Generalizing the Taylor Principle: Reply|American Economic Review|2010|100|1|618|624|Troy Davig
RePEc:aea:aecrev:v:100:y:2010:i:1:p:618-24|Generalizing the Taylor Principle: Reply|American Economic Review|2010|100|1|618|624|Eric M. Leeper
RePEc:aea:aecrev:v:100:y:2010:i:1:p:625-27|All-or-Nothing Monitoring: Comment|American Economic Review|2010|100|1|625|627|Bo Chen
RePEc:aea:aecrev:v:100:y:2010:i:1:p:628-33|Betrayal Aversion: Evidence from Brazil, China, Oman, Switzerland, Turkey, and the United States: Comment|American Economic Review|2010|100|1|628|633|Gary E. Bolton
RePEc:aea:aecrev:v:100:y:2010:i:1:p:628-33|Betrayal Aversion: Evidence from Brazil, China, Oman, Switzerland, Turkey, and the United States: Comment|American Economic Review|2010|100|1|628|633|Axel Ockenfels
RePEc:aea:aecrev:v:100:y:2010:i:2:p:1-10|Computer Mediated Transactions|American Economic Review|2010|100|2|1|10|Hal R. Varian
RePEc:aea:aecrev:v:100:y:2010:i:2:p:11-15|Okun's Law and Productivity Innovations|American Economic Review|2010|100|2|11|15|Robert J. Gordon
RePEc:aea:aecrev:v:100:y:2010:i:2:p:16-19|Indicators for Dating Business Cycles: Cross-History Selection and Comparisons|American Economic Review|2010|100|2|16|19|James H. Stock
RePEc:aea:aecrev:v:100:y:2010:i:2:p:16-19|Indicators for Dating Business Cycles: Cross-History Selection and Comparisons|American Economic Review|2010|100|2|16|19|Mark W. Watson
RePEc:aea:aecrev:v:100:y:2010:i:2:p:20-24|Real-Time Macroeconomic Monitoring: Real Activity, Inflation, and Interactions|American Economic Review|2010|100|2|20|24|S. Boragan Aruoba
RePEc:aea:aecrev:v:100:y:2010:i:2:p:20-24|Real-Time Macroeconomic Monitoring: Real Activity, Inflation, and Interactions|American Economic Review|2010|100|2|20|24|Francis X. Diebold
RePEc:aea:aecrev:v:100:y:2010:i:2:p:25-29|The Business Cycle in a Changing Economy: Conceptualization, Measurement, Dating|American Economic Review|2010|100|2|25|29|Allen Sinai
RePEc:aea:aecrev:v:100:y:2010:i:2:p:30-34|Some Fiscal Calculus|American Economic Review|2010|100|2|30|34|Harald Uhlig
RePEc:aea:aecrev:v:100:y:2010:i:2:p:35-40|Fiscal Policy in a Model with Financial Frictions|American Economic Review|2010|100|2|35|40|Jesús Fernández-Villaverde
RePEc:aea:aecrev:v:100:y:2010:i:2:p:41-45|Debt Consolidation and Fiscal Stabilization of Deep Recessions|American Economic Review|2010|100|2|41|45|Giancarlo Corsetti
RePEc:aea:aecrev:v:100:y:2010:i:2:p:41-45|Debt Consolidation and Fiscal Stabilization of Deep Recessions|American Economic Review|2010|100|2|41|45|Keith Kuester
RePEc:aea:aecrev:v:100:y:2010:i:2:p:41-45|Debt Consolidation and Fiscal Stabilization of Deep Recessions|American Economic Review|2010|100|2|41|45|André Meier
RePEc:aea:aecrev:v:100:y:2010:i:2:p:41-45|Debt Consolidation and Fiscal Stabilization of Deep Recessions|American Economic Review|2010|100|2|41|45|Gernot J. Müller
RePEc:aea:aecrev:v:100:y:2010:i:2:p:46-50|Asset Fire Sales and Credit Easing|American Economic Review|2010|100|2|46|50|Andrei Shleifer
RePEc:aea:aecrev:v:100:y:2010:i:2:p:46-50|Asset Fire Sales and Credit Easing|American Economic Review|2010|100|2|46|50|Robert W. Vishny
RePEc:aea:aecrev:v:100:y:2010:i:2:p:51-56|The Great Recession: Lessons from Microeconomic Data|American Economic Review|2010|100|2|51|56|Atif Mian
RePEc:aea:aecrev:v:100:y:2010:i:2:p:51-56|The Great Recession: Lessons from Microeconomic Data|American Economic Review|2010|100|2|51|56|Amir Sufi
RePEc:aea:aecrev:v:100:y:2010:i:2:p:57-61|Loan Syndication and Credit Cycles|American Economic Review|2010|100|2|57|61|Victoria Ivashina
RePEc:aea:aecrev:v:100:y:2010:i:2:p:57-61|Loan Syndication and Credit Cycles|American Economic Review|2010|100|2|57|61|David Scharfstein
RePEc:aea:aecrev:v:100:y:2010:i:2:p:62-67|Growth, Size, and Openness: A Quantitative Approach|American Economic Review|2010|100|2|62|67|Natalia Ramondo
RePEc:aea:aecrev:v:100:y:2010:i:2:p:62-67|Growth, Size, and Openness: A Quantitative Approach|American Economic Review|2010|100|2|62|67|Andrés Rodríguez-Clare
RePEc:aea:aecrev:v:100:y:2010:i:2:p:68-72|Capital Flows and Macroeconomic Performance: Lessons from the Golden Era of International Finance|American Economic Review|2010|100|2|68|72|Lee E. Ohanian
RePEc:aea:aecrev:v:100:y:2010:i:2:p:68-72|Capital Flows and Macroeconomic Performance: Lessons from the Golden Era of International Finance|American Economic Review|2010|100|2|68|72|Mark L. J. Wright
RePEc:aea:aecrev:v:100:y:2010:i:2:p:73-77|The Marginal Product of Capital, Capital Flows, and Convergence|American Economic Review|2010|100|2|73|77|Sirsha Chatterjee
RePEc:aea:aecrev:v:100:y:2010:i:2:p:73-77|The Marginal Product of Capital, Capital Flows, and Convergence|American Economic Review|2010|100|2|73|77|Kanda Naknoi
RePEc:aea:aecrev:v:100:y:2010:i:2:p:78-82|The Quantitative Role of Capital Goods Imports in US Growth|American Economic Review|2010|100|2|78|82|Michele Cavallo
RePEc:aea:aecrev:v:100:y:2010:i:2:p:78-82|The Quantitative Role of Capital Goods Imports in US Growth|American Economic Review|2010|100|2|78|82|Anthony Landry
RePEc:aea:aecrev:v:100:y:2010:i:2:p:83-88|Political Limits to Globalization|American Economic Review|2010|100|2|83|88|Daron Acemoglu
RePEc:aea:aecrev:v:100:y:2010:i:2:p:83-88|Political Limits to Globalization|American Economic Review|2010|100|2|83|88|Pierre Yared
RePEc:aea:aecrev:v:100:y:2010:i:2:p:89-93|Making Room for China in the World Economy|American Economic Review|2010|100|2|89|93|Dani Rodrik
RePEc:aea:aecrev:v:100:y:2010:i:2:p:94-98|What Parts of Globalization Matter for Catch-Up Growth?|American Economic Review|2010|100|2|94|98|Paul M. Romer
RePEc:aea:aecrev:v:100:y:2010:i:2:p:99-104|How Do You Measure a &quot;Technological Revolution&quot;?|American Economic Review|2010|100|2|99|104|Carol A. Corrado
RePEc:aea:aecrev:v:100:y:2010:i:2:p:99-104|How Do You Measure a &quot;Technological Revolution&quot;?|American Economic Review|2010|100|2|99|104|Charles R. Hulten
RePEc:aea:aecrev:v:100:y:2010:i:2:p:105-09|New Approaches to Surveying Organizations|American Economic Review|2010|100|2|105|109|Nicholas Bloom
RePEc:aea:aecrev:v:100:y:2010:i:2:p:105-09|New Approaches to Surveying Organizations|American Economic Review|2010|100|2|105|109|John Van Reenen
RePEc:aea:aecrev:v:100:y:2010:i:2:p:110-14|Artistic Originals as a Capital Asset|American Economic Review|2010|100|2|110|114|Rachel Soloveichik
RePEc:aea:aecrev:v:100:y:2010:i:2:p:115-19|Institutions, Factor Prices, and Taxation: Virtues of Strong States?|American Economic Review|2010|100|2|115|119|Daron Acemoglu
