journal|year|author|repec
American Economic Review|2010|Angus Deaton|pde30
American Economic Review|2010|Timothy G. Conley|pco561
American Economic Review|2010|Christopher R. Udry|pud2
American Economic Review|2010|Andrew B. Bernard|pbe478
American Economic Review|2010|Stephen J. Redding|pre64
American Economic Review|2010|Peter K. Schott|psc98
American Economic Review|2010|Martha J. Bailey|pba669
American Economic Review|2010|Gunter J. Hitsch|none
American Economic Review|2010|Ali Hortaçsu|pho408
American Economic Review|2010|Dan Ariely|none
American Economic Review|2010|Roberto M. Samaniego|psa122
American Economic Review|2010|Amitabh Chandra|pch893
American Economic Review|2010|Jonathan Gruber|pgr20
American Economic Review|2010|Robin McKnight|pmc188
American Economic Review|2010|Josh Lerner|ple60
American Economic Review|2010|Ulrike Malmendier|pma1397
American Economic Review|2010|Ann Harrison|pha441
American Economic Review|2010|Jason Scorse|none
American Economic Review|2010|Michael Woodford|pwo3
American Economic Review|2010|Gita Gopinath|pgo327
American Economic Review|2010|Oleg Itskhoki|pit14
American Economic Review|2010|Roberto Rigobon|pri12
American Economic Review|2010|Roberto Rigobon|pri12
American Economic Review|2010|Xavier Mateos-Planas|pma171
American Economic Review|2010|Kei-Mu Yi|pyi44
American Economic Review|2010|Henrik Horn|pho182
American Economic Review|2010|Giovanni Maggi|pma1315
American Economic Review|2010|Robert W. Staiger|pst85
American Economic Review|2010|Klaus Abbink|pab191
American Economic Review|2010|Jordi Brandts|pbr469
American Economic Review|2010|Benedikt Herrmann|none
American Economic Review|2010|Sylvain Chassang|pch604
American Economic Review|2010|Eric Van den Steen|pva91
American Economic Review|2010|Sophocles Mavroeidis|pma404
American Economic Review|2010|Jeffrey Carpenter|pca67
American Economic Review|2010|Peter Hans Matthews|pma146
American Economic Review|2010|John Schirm|psc291
American Economic Review|2010|Philip R. Lane|pla15
American Economic Review|2010|Jay C. Shambaugh|psh497
American Economic Review|2010|Urs Fischbacher|pfi115
American Economic Review|2010|Simon Gachter|pga108
American Economic Review|2010|Tomomi Tanaka|pta140
American Economic Review|2010|Colin F. Camerer|pca47
American Economic Review|2010|Quang Nguyen|png86
American Economic Review|2010|Kenneth A. Couch|pco89
American Economic Review|2010|Dana W. Placzek|none
American Economic Review|2010|Mark Duggan|pdu194
American Economic Review|2010|Fiona Scott Morton|none
American Economic Review|2010|Roger E. A. Farmer|pfa3
American Economic Review|2010|Daniel F. Waggoner|pwa463
American Economic Review|2010|Tao Zha|pzh80
American Economic Review|2010|Troy Davig|pda131
American Economic Review|2010|Eric M. Leeper|ple3
American Economic Review|2010|Bo Chen|pch458
American Economic Review|2010|Gary E. Bolton|pbo138
American Economic Review|2010|Axel Ockenfels|poc7
American Economic Review|2010|Hal R. Varian|pva5
American Economic Review|2010|Robert J. Gordon|pgo50
American Economic Review|2010|James H. Stock|pst148
American Economic Review|2010|Mark W. Watson|pwa582
American Economic Review|2010|S. Boragan Aruoba|par34
American Economic Review|2010|Francis X. Diebold|pdi1
American Economic Review|2010|Allen Sinai|none
American Economic Review|2010|Harald Uhlig|puh1
American Economic Review|2010|Jesús Fernández-Villaverde|pfe14
American Economic Review|2010|Giancarlo Corsetti|pco185
American Economic Review|2010|Keith Kuester|pku226
American Economic Review|2010|André Meier|pme351
American Economic Review|2010|Gernot J. Müller|pml7
American Economic Review|2010|Andrei Shleifer|psh93
American Economic Review|2010|Robert W. Vishny|pvi218
American Economic Review|2010|Atif Mian|pmi415
American Economic Review|2010|Amir Sufi|psu303
American Economic Review|2010|Victoria Ivashina|none
American Economic Review|2010|David Scharfstein|psc177
American Economic Review|2010|Natalia Ramondo|pra566
American Economic Review|2010|Andrés Rodríguez-Clare|pro372
American Economic Review|2010|Lee E. Ohanian|poh1
American Economic Review|2010|Mark L. J. Wright|pwr6
American Economic Review|2010|Sirsha Chatterjee|none
