journal|year|author|repec
American Economic Review|2000|D. Gale Johnson|pjo254
American Economic Review|2000|Dmitriy Stolyarov|pst142
American Economic Review|2000|Boyan Jovanovic|pjo20
American Economic Review|2000|Eric S. Rosengren|pro88
American Economic Review|2000|Joe Peek|ppe90
American Economic Review|2000|Larry Samuelson|psa80
American Economic Review|2000|George J. Mailath|pma6
American Economic Review|2000|Avner Shaked|none
American Economic Review|2000|David E. Wildasin|pwi3
American Economic Review|2000|Roland Benabou|pbe27
American Economic Review|2000|Thomas J. Nechyba|pne28
American Economic Review|2000|Kevin C. Murdock|none
American Economic Review|2000|Thomas F. Hellmann|phe157
American Economic Review|2000|Joseph E. Stiglitz|pst33
American Economic Review|2000|Axel Ockenfels|poc7
American Economic Review|2000|Gary E. Bolton|pbo138
American Economic Review|2000|Thierry Verdier|pve75
American Economic Review|2000|Daron Acemoglu|pac16
American Economic Review|2000|Charles Morcom|none
American Economic Review|2000|Michael Kremer|pkr20
American Economic Review|2000|Dan Bernhardt|pbe65
American Economic Review|2000|Yoshihiro Yoshida|none
American Economic Review|2000|Josef Falkinger|pfa72
American Economic Review|2000|Lisa J. Cameron|pca304
American Economic Review|2000|Olivier de La Grandville|none
American Economic Review|2000|Rainer Klump|none
American Economic Review|2000|Edmund S. Cannon|pca128
American Economic Review|2000|Ilya R. Segal|pwh46
American Economic Review|2000|J. Mark Ramseyer|pra256
American Economic Review|2000|Eric B. Rasmusen|pra42
American Economic Review|2000|John Shepard Wiley|pra42
American Economic Review|2000|Alex Lammertsma|none
American Economic Review|2000|Clemens J. M. Kool|pko467
American Economic Review|2000|Frank Heinemann|phe217
American Economic Review|2000|Orit Tykocinski|none
American Economic Review|2000|Bradley J. Ruffle|pru21
American Economic Review|2000|David Hemenway|none
American Economic Review|2000|Sara J. Solnick|none
American Economic Review|2000|Lawrence H. Summers|psu137
American Economic Review|2000|Myron S. Scholes|psc29
American Economic Review|2000|Simon Johnson|pjo44
American Economic Review|2000|Dong Lee|none
American Economic Review|2000|Bong-Chan Kho|none
American Economic Review|2000|Rene M. Stulz|pst226
American Economic Review|2000|Rachel McCulloch|pmc10
American Economic Review|2000|Blake LeBaron|ple1
American Economic Review|2000|Anne O. Krueger|none
American Economic Review|2000|Robert Z. Aliber|none
American Economic Review|2000|Padma Desai|none
American Economic Review|2000|Domenico Mario Nuti|none
American Economic Review|2000|Enrique G. Mendoza|pme30
