handle|title|journal|year|vol|issue|page|end page|author
RePEc:ecm:emetrp:v:68:y:2000:i:1:p:1-22|The Econometrics of Ultra-High Frequency Data|Econometrica|2000|68|1|1|22|Robert F. Engle
RePEc:ecm:emetrp:v:68:y:2000:i:1:p:23-52|A Three-Step Method for Choosing the Number of Bootstrap Repetitions|Econometrica|2000|68|1|23|52|Donald W. K. Andrews
RePEc:ecm:emetrp:v:68:y:2000:i:1:p:23-52|A Three-Step Method for Choosing the Number of Bootstrap Repetitions|Econometrica|2000|68|1|23|52|Moshe Buchinsky
RePEc:ecm:emetrp:v:68:y:2000:i:1:p:53-84|Latent Separability: Grouping Goods without Weak Separability|Econometrica|2000|68|1|53|84|Richard Blundell
RePEc:ecm:emetrp:v:68:y:2000:i:1:p:53-84|Latent Separability: Grouping Goods without Weak Separability|Econometrica|2000|68|1|53|84|Jean-Marc Robin
RePEc:ecm:emetrp:v:68:y:2000:i:1:p:85-118|Bargaining and Reputation|Econometrica|2000|68|1|85|118|Dilip Abreu
RePEc:ecm:emetrp:v:68:y:2000:i:1:p:85-118|Bargaining and Reputation|Econometrica|2000|68|1|85|118|Faruk Gul
RePEc:ecm:emetrp:v:68:y:2000:i:1:p:119-134|Optimal Contracts when Enforcement Is a Decision Variable|Econometrica|2000|68|1|119|134|Stefan Krasa
RePEc:ecm:emetrp:v:68:y:2000:i:1:p:119-134|Optimal Contracts when Enforcement Is a Decision Variable|Econometrica|2000|68|1|119|134|Anne P. Villamil
RePEc:ecm:emetrp:v:68:y:2000:i:1:p:135-148|Information Acquisition in Auctions|Econometrica|2000|68|1|135|148|Nicola Persico
RePEc:ecm:emetrp:v:68:y:2000:i:1:p:149-156|A Divisible Search Model of Fiat Money: A Comment|Econometrica|2000|68|1|149|156|Bernhard Rauch
RePEc:ecm:emetrp:v:68:y:2000:i:2:p:247-274|Inflation and Welfare|Econometrica|2000|68|2|247|274|Robert E. Lucas, Jr.
RePEc:ecm:emetrp:v:68:y:2000:i:2:p:275-308|Mortgage Terminations, Heterogeneity and the Exercise of Mortgage Options|Econometrica|2000|68|2|275|308|Yongheng Deng
RePEc:ecm:emetrp:v:68:y:2000:i:2:p:275-308|Mortgage Terminations, Heterogeneity and the Exercise of Mortgage Options|Econometrica|2000|68|2|275|308|John M. Quigley
RePEc:ecm:emetrp:v:68:y:2000:i:2:p:275-308|Mortgage Terminations, Heterogeneity and the Exercise of Mortgage Options|Econometrica|2000|68|2|275|308|Robert Van Order
RePEc:ecm:emetrp:v:68:y:2000:i:2:p:309-342|Mechanism Design with Collusion and Correlation|Econometrica|2000|68|2|309|342|Jean-Jacques Laffont
RePEc:ecm:emetrp:v:68:y:2000:i:2:p:309-342|Mechanism Design with Collusion and Correlation|Econometrica|2000|68|2|309|342|David Martimort
RePEc:ecm:emetrp:v:68:y:2000:i:2:p:343-370|Assortative Matching and Search|Econometrica|2000|68|2|343|370|Robert Shimer
RePEc:ecm:emetrp:v:68:y:2000:i:2:p:343-370|Assortative Matching and Search|Econometrica|2000|68|2|343|370|Lones Smith
RePEc:ecm:emetrp:v:68:y:2000:i:2:p:371-398|Pathological Outcomes of Observational Learning|Econometrica|2000|68|2|371|398|Lones Smith
RePEc:ecm:emetrp:v:68:y:2000:i:2:p:371-398|Pathological Outcomes of Observational Learning|Econometrica|2000|68|2|371|398|Peter Sorensen
RePEc:ecm:emetrp:v:68:y:2000:i:2:p:399-406|Inconsistency of the Bootstrap when a Parameter Is on the Boundary of the Parameter Space|Econometrica|2000|68|2|399|406|Donald W. K. Andrews
RePEc:ecm:emetrp:v:68:y:2000:i:2:p:407-424|Consistency of Kernel Estimators of Heteroscedastic and Autocorrelated Covariance Matrices|Econometrica|2000|68|2|407|424|Robert M. De Jong
RePEc:ecm:emetrp:v:68:y:2000:i:2:p:407-424|Consistency of Kernel Estimators of Heteroscedastic and Autocorrelated Covariance Matrices|Econometrica|2000|68|2|407|424|James Davidson
RePEc:ecm:emetrp:v:68:y:2000:i:2:p:425-434|Temporal Resolution of Uncertainty and Recursive Non-Expected Utility Models|Econometrica|2000|68|2|425|434|Simon Grant
RePEc:ecm:emetrp:v:68:y:2000:i:2:p:425-434|Temporal Resolution of Uncertainty and Recursive Non-Expected Utility Models|Econometrica|2000|68|2|425|434|Atsushi Kajii
RePEc:ecm:emetrp:v:68:y:2000:i:2:p:425-434|Temporal Resolution of Uncertainty and Recursive Non-Expected Utility Models|Econometrica|2000|68|2|425|434|Ben Polak
RePEc:ecm:emetrp:v:68:y:2000:i:2:p:435-441|Do Sunspots Matter when Spot Market Equilibria Are Unique?|Econometrica|2000|68|2|435|441|Thorsten Hens
RePEc:ecm:emetrp:v:68:y:2000:i:3:p:525-574|Optimal Nonparametric Estimation of First-Price Auctions|Econometrica|2000|68|3|525|574|Emmanuel Guerre
RePEc:ecm:emetrp:v:68:y:2000:i:3:p:525-574|Optimal Nonparametric Estimation of First-Price Auctions|Econometrica|2000|68|3|525|574|Isabelle Perrigne
RePEc:ecm:emetrp:v:68:y:2000:i:3:p:525-574|Optimal Nonparametric Estimation of First-Price Auctions|Econometrica|2000|68|3|525|574|Quang Vuong
RePEc:ecm:emetrp:v:68:y:2000:i:3:p:575-604|Sample Splitting and Threshold Estimation|Econometrica|2000|68|3|575|604|Bruce E. Hansen
RePEc:ecm:emetrp:v:68:y:2000:i:3:p:605-642|Reinforcement-Based vs. Belief-Based Learning Models in Experimental Asymmetric-Information|Econometrica|2000|68|3|605|642|Nick Feltovich
RePEc:ecm:emetrp:v:68:y:2000:i:3:p:643-684|Priority Rules and Other Asymmetric Rationing Methods|Econometrica|2000|68|3|643|684|Hervé Moulin
RePEc:ecm:emetrp:v:68:y:2000:i:3:p:685-694|Sharing Beliefs: Between Agreeing and Disagreeing|Econometrica|2000|68|3|685|694|Antoine Billot
RePEc:ecm:emetrp:v:68:y:2000:i:3:p:685-694|Sharing Beliefs: Between Agreeing and Disagreeing|Econometrica|2000|68|3|685|694|Alain Chateauneuf
