handle|title|journal|year|vol|issue|page|end page|author
RePEc:eee:jfpoli:v:35:y:2010:i:1:p:1-11|Reflections on food crises past|Food Policy|2010|35|1|1|11|Timmer, C. Peter
RePEc:eee:jfpoli:v:35:y:2010:i:1:p:12-19|Impacts of world prices transmission to domestic rice markets in rural Iran|Food Policy|2010|35|1|12|19|Bakhshoodeh, M.
RePEc:eee:jfpoli:v:35:y:2010:i:1:p:20-31|Trade liberalization and food security in Nepal|Food Policy|2010|35|1|20|31|Pyakuryal, Bishwambher
RePEc:eee:jfpoli:v:35:y:2010:i:1:p:20-31|Trade liberalization and food security in Nepal|Food Policy|2010|35|1|20|31|Thapa, Y.B.
RePEc:eee:jfpoli:v:35:y:2010:i:1:p:32-40|Is an integrated farm more resilient against climate change? A micro-econometric analysis of portfolio diversification in African agriculture|Food Policy|2010|35|1|32|40|Seo, S. Niggol
RePEc:eee:jfpoli:v:35:y:2010:i:1:p:41-50|Mapping natural resource-based poverty, with an application to rural Syria|Food Policy|2010|35|1|41|50|Szonyi, Judit
RePEc:eee:jfpoli:v:35:y:2010:i:1:p:41-50|Mapping natural resource-based poverty, with an application to rural Syria|Food Policy|2010|35|1|41|50|Aw-Hassan, Aden
RePEc:eee:jfpoli:v:35:y:2010:i:1:p:51-59|The associations of soil fertility and market access with household income: Evidence from rural Uganda|Food Policy|2010|35|1|51|59|Yamano, Takashi
RePEc:eee:jfpoli:v:35:y:2010:i:1:p:51-59|The associations of soil fertility and market access with household income: Evidence from rural Uganda|Food Policy|2010|35|1|51|59|Kijima, Yoko
RePEc:eee:jfpoli:v:35:y:2010:i:1:p:60-68|Evolution and challenges of dairy supply chains: Evidence from supermarkets, industries and consumers in Ethiopia|Food Policy|2010|35|1|60|68|Francesconi, Gian Nicola
RePEc:eee:jfpoli:v:35:y:2010:i:1:p:60-68|Evolution and challenges of dairy supply chains: Evidence from supermarkets, industries and consumers in Ethiopia|Food Policy|2010|35|1|60|68|D'Haese, Marijke
RePEc:eee:jfpoli:v:35:y:2010:i:1:p:69-78|The role of farmer organizations in supplying supermarkets with quality food in Vietnam|Food Policy|2010|35|1|69|78|Moustier, Paule
RePEc:eee:jfpoli:v:35:y:2010:i:1:p:69-78|The role of farmer organizations in supplying supermarkets with quality food in Vietnam|Food Policy|2010|35|1|69|78|Loc, Nguyen Thi Tan
RePEc:eee:jfpoli:v:35:y:2010:i:1:p:79-86|Traditional food traders in developing countries and competition from supermarkets: Evidence from Indonesia|Food Policy|2010|35|1|79|86|Suryadarma, Daniel
RePEc:eee:jfpoli:v:35:y:2010:i:1:p:79-86|Traditional food traders in developing countries and competition from supermarkets: Evidence from Indonesia|Food Policy|2010|35|1|79|86|Suryahadi, Asep
RePEc:eee:jfpoli:v:35:y:2010:i:1:p:87-90|On the proportionality of EU spatial ex ante coexistence regulations: A comment|Food Policy|2010|35|1|87|90|Desquilbet, Marion
RePEc:eee:jfpoli:v:35:y:2010:i:1:p:87-90|On the proportionality of EU spatial ex ante coexistence regulations: A comment|Food Policy|2010|35|1|87|90|Bullock, David S.
RePEc:eee:jfpoli:v:35:y:2010:i:2:p:91-97|Fit for purpose? Rethinking food security responses in protracted humanitarian crises|Food Policy|2010|35|2|91|97|Maxwell, Daniel
RePEc:eee:jfpoli:v:35:y:2010:i:2:p:91-97|Fit for purpose? Rethinking food security responses in protracted humanitarian crises|Food Policy|2010|35|2|91|97|Wirth, James
RePEc:eee:jfpoli:v:35:y:2010:i:2:p:98-111|Estimating impact of cassava research for development approach on productivity, uptake and food security in Malawi|Food Policy|2010|35|2|98|111|Rusike, J.
RePEc:eee:jfpoli:v:35:y:2010:i:2:p:98-111|Estimating impact of cassava research for development approach on productivity, uptake and food security in Malawi|Food Policy|2010|35|2|98|111|Malindi, G.
RePEc:eee:jfpoli:v:35:y:2010:i:2:p:112-120|Innovation and integration in the agri-food industry|Food Policy|2010|35|2|112|120|Karantininis, Kostas
RePEc:eee:jfpoli:v:35:y:2010:i:2:p:112-120|Innovation and integration in the agri-food industry|Food Policy|2010|35|2|112|120|Furtan, William Hartley
RePEc:eee:jfpoli:v:35:y:2010:i:2:p:121-129|The impact of interfirm relationships on investment: Evidence from the Polish dairy sector|Food Policy|2010|35|2|121|129|Dries, Liesbeth
RePEc:eee:jfpoli:v:35:y:2010:i:2:p:121-129|The impact of interfirm relationships on investment: Evidence from the Polish dairy sector|Food Policy|2010|35|2|121|129|Swinnen, Johan F.M.
