handle;title;journal;year;vol;issue;page;end page;author
RePEc:eee:jfpoli:v:35:y:2010:i:1:p:1-11;Reflections on food crises past;food policy;2010;35;1;1;11;Timmer C. Pete
RePEc:eee:jfpoli:v:35:y:2010:i:1:p:12-19;Impacts of world prices transmission to domestic rice markets in rural Iran;food policy;2010;35;1;12;19;Bakhshoodeh M
RePEc:eee:jfpoli:v:35:y:2010:i:1:p:20-31;Trade liberalization and food security in Nepal;food policy;2010;35;1;20;31;Pyakuryal Bishwambher
RePEc:eee:jfpoli:v:35:y:2010:i:1:p:20-31;Trade liberalization and food security in Nepal;food policy;2010;35;1;20;31;Roy Devesh
RePEc:eee:jfpoli:v:35:y:2010:i:1:p:20-31;Trade liberalization and food security in Nepal;food policy;2010;35;1;20;31;Thapa Y.B
RePEc:eee:jfpoli:v:35:y:2010:i:1:p:32-40;Is an integrated farm more resilient against climate change? A micro-econometric analysis of portfolio diversification in African agriculture;food policy;2010;35;1;32;40;Seo S. Niggo
RePEc:eee:jfpoli:v:35:y:2010:i:1:p:41-50;Mapping natural resource-based poverty, with an application to rural Syria;food policy;2010;35;1;41;50;Szonyi Judit
RePEc:eee:jfpoli:v:35:y:2010:i:1:p:41-50;Mapping natural resource-based poverty, with an application to rural Syria;food policy;2010;35;1;41;50;De Pauw Eddy
RePEc:eee:jfpoli:v:35:y:2010:i:1:p:41-50;Mapping natural resource-based poverty, with an application to rural Syria;food policy;2010;35;1;41;50;Rovere Roberto La
RePEc:eee:jfpoli:v:35:y:2010:i:1:p:41-50;Mapping natural resource-based poverty, with an application to rural Syria;food policy;2010;35;1;41;50;Aw-Hassan Ade
RePEc:eee:jfpoli:v:35:y:2010:i:1:p:51-59;The associations of soil fertility and market access with household income: Evidence from rural Uganda;food policy;2010;35;1;51;59;Yamano Takashi
RePEc:eee:jfpoli:v:35:y:2010:i:1:p:51-59;The associations of soil fertility and market access with household income: Evidence from rural Uganda;food policy;2010;35;1;51;59;Kijima Yok
RePEc:eee:jfpoli:v:35:y:2010:i:1:p:60-68;Evolution and challenges of dairy supply chains: Evidence from supermarkets, industries and consumers in Ethiopia;food policy;2010;35;1;60;68;Francesconi Gian Nicola
