handle|title|journal|year|vol|issue|page|end page|author
RePEc:ucp:jpolec:doi:10.1086/657922|Optimal Information Disclosure|Journal of Political Economy|2010|118|5|949|987|Luis Rayo
RePEc:ucp:jpolec:doi:10.1086/657922|Optimal Information Disclosure|Journal of Political Economy|2010|118|5|949|987|Ilya Segal
RePEc:ucp:jpolec:doi:10.1086/657923|Learning from Prices: Public Communication and Welfare|Journal of Political Economy|2010|118|5|866|907|Manuel Amador
RePEc:ucp:jpolec:doi:10.1086/657923|Learning from Prices: Public Communication and Welfare|Journal of Political Economy|2010|118|5|866|907|Pierre-Olivier Weill
RePEc:ucp:jpolec:doi:10.1086/657948|Mechanism Choice and Strategic Bidding in Divisible Good Auctions: An Empirical Analysis of the Turkish Treasury Auction Market|Journal of Political Economy|2010|118|5|833|865|Ali Hortaçsu
RePEc:ucp:jpolec:doi:10.1086/657948|Mechanism Choice and Strategic Bidding in Divisible Good Auctions: An Empirical Analysis of the Turkish Treasury Auction Market|Journal of Political Economy|2010|118|5|833|865|David McAdams
RePEc:ucp:jpolec:doi:10.1086/657949|Market Penetration Costs and the New Consumers Margin in International Trade|Journal of Political Economy|2010|118|6|1151|1199|Costas Arkolakis
RePEc:ucp:jpolec:doi:10.1086/657996|Capital Taxation and Ownership When Markets Are Incomplete|Journal of Political Economy|2010|118|5|908|948|Emmanuel Farhi
RePEc:ucp:jpolec:doi:10.1086/658160|When Does Labor Scarcity Encourage Innovation?|Journal of Political Economy|2010|118|6|1037|1078|Daron Acemoglu
RePEc:ucp:jpolec:doi:10.1086/658161|Dynamic Merger Review|Journal of Political Economy|2010|118|6|1201|1251|Volker Nocke
RePEc:ucp:jpolec:doi:10.1086/658161|Dynamic Merger Review|Journal of Political Economy|2010|118|6|1201|1251|Michael D. Whinston
RePEc:ucp:jpolec:doi:10.1086/658371|Should the Personal Computer Be Considered a Technological Revolution? Evidence from U.S. Metropolitan Areas|Journal of Political Economy|2010|118|5|988|1036|Paul Beaudry
RePEc:ucp:jpolec:doi:10.1086/658371|Should the Personal Computer Be Considered a Technological Revolution? Evidence from U.S. Metropolitan Areas|Journal of Political Economy|2010|118|5|988|1036|Mark Doms
RePEc:ucp:jpolec:doi:10.1086/658371|Should the Personal Computer Be Considered a Technological Revolution? Evidence from U.S. Metropolitan Areas|Journal of Political Economy|2010|118|5|988|1036|Ethan Lewis
RePEc:ucp:jpolec:doi:10.1086/658372|Momentum and Social Learning in Presidential Primaries|Journal of Political Economy|2010|118|6|1110|1150|Brian Knight
RePEc:ucp:jpolec:doi:10.1086/658372|Momentum and Social Learning in Presidential Primaries|Journal of Political Economy|2010|118|6|1110|1150|Nathan Schiff
RePEc:ucp:jpolec:doi:10.1086/658496|Erratum: Measurement Error and the Relationship between Investment and q|Journal of Political Economy|2010|118|6|1252|1257|Timothy Erickson
RePEc:ucp:jpolec:doi:10.1086/658496|Erratum: Measurement Error and the Relationship between Investment and q|Journal of Political Economy|2010|118|6|1252|1257|Toni M. Whited
RePEc:ucp:jpolec:doi:10.1086/658497|Competitive Markets without Commitment|Journal of Political Economy|2010|118|6|1079|1109|Nick Netzer
RePEc:ucp:jpolec:doi:10.1086/658497|Competitive Markets without Commitment|Journal of Political Economy|2010|118|6|1079|1109|Florian Scheuer
RePEc:ucp:jpolec:doi:10.1086/659238|Risks for the Long Run and the Real Exchange Rate|Journal of Political Economy|2011|119|1|153|181|Riccardo Colacito
RePEc:ucp:jpolec:doi:10.1086/659238|Risks for the Long Run and the Real Exchange Rate|Journal of Political Economy|2011|119|1|153|181|Mariano M. Croce
RePEc:ucp:jpolec:doi:10.1086/659311|Sectoral versus Aggregate Shocks: A Structural Factor Analysis of Industrial Production|Journal of Political Economy|2011|119|1|1|38|Andrew T. Foerster
RePEc:ucp:jpolec:doi:10.1086/659311|Sectoral versus Aggregate Shocks: A Structural Factor Analysis of Industrial Production|Journal of Political Economy|2011|119|1|1|38|Pierre-Daniel G. Sarte
RePEc:ucp:jpolec:doi:10.1086/659311|Sectoral versus Aggregate Shocks: A Structural Factor Analysis of Industrial Production|Journal of Political Economy|2011|119|1|1|38|Mark W. Watson
RePEc:ucp:jpolec:doi:10.1086/659312|When Is the Government Spending Multiplier Large?|Journal of Political Economy|2011|119|1|78|121|Lawrence Christiano
RePEc:ucp:jpolec:doi:10.1086/659312|When Is the Government Spending Multiplier Large?|Journal of Political Economy|2011|119|1|78|121|Martin Eichenbaum
RePEc:ucp:jpolec:doi:10.1086/659312|When Is the Government Spending Multiplier Large?|Journal of Political Economy|2011|119|1|78|121|Sergio Rebelo
RePEc:ucp:jpolec:doi:10.1086/659371|A &quot;New Trade&quot; Theory of GATT/WTO Negotiations|Journal of Political Economy|2011|119|1|122|152|Ralph Ossa
RePEc:ucp:jpolec:doi:10.1086/659655|Teacher Performance Pay: Experimental Evidence from India|Journal of Political Economy|2011|119|1|39|77|Karthik Muralidharan
RePEc:ucp:jpolec:doi:10.1086/659655|Teacher Performance Pay: Experimental Evidence from India|Journal of Political Economy|2011|119|1|39|77|Venkatesh Sundararaman
RePEc:ucp:jpolec:doi:10.1086/660083|Can Health Care Information Technology Save Babies?|Journal of Political Economy|2011|119|2|289|324|Amalia R. Miller
RePEc:ucp:jpolec:doi:10.1086/660083|Can Health Care Information Technology Save Babies?|Journal of Political Economy|2011|119|2|289|324|Catherine E. Tucker
RePEc:ucp:jpolec:doi:10.1086/660124|The Allocative Cost of Price Ceilings in the U.S. Residential Market for Natural Gas|Journal of Political Economy|2011|119|2|212|241|Lucas W. Davis
RePEc:ucp:jpolec:doi:10.1086/660124|The Allocative Cost of Price Ceilings in the U.S. Residential Market for Natural Gas|Journal of Political Economy|2011|119|2|212|241|Lutz Kilian
RePEc:ucp:jpolec:doi:10.1086/660298|Factions and Political Competition|Journal of Political Economy|2011|119|2|242|288|Nicola Persico
RePEc:ucp:jpolec:doi:10.1086/660298|Factions and Political Competition|Journal of Political Economy|2011|119|2|242|288|José C. R. Pueblita
RePEc:ucp:jpolec:doi:10.1086/660298|Factions and Political Competition|Journal of Political Economy|2011|119|2|242|288|Dan Silverman
