handle;title;journal;year;vol;issue;page;end page;author
RePEc:aea:aecrev:v:90:y:2000:i:1:p:1-14;Population, Food, and Knowledge;American Economic Review;2000;90;1;1;14;D. Gale Johnson
RePEc:aea:aecrev:v:90:y:2000:i:1:p:15-29;Optimal Adoption of Complementary Technologies;American Economic Review;2000;90;1;15;29;Dmitriy Stolyarov
RePEc:aea:aecrev:v:90:y:2000:i:1:p:15-29;Optimal Adoption of Complementary Technologies;American Economic Review;2000;90;1;15;29;Boyan Jovanovic
RePEc:aea:aecrev:v:90:y:2000:i:1:p:30-45;Collateral Damage: Effects of the Japanese Bank Crisis on Real Activity in the United States;American Economic Review;2000;90;1;30;45;Eric S. Rosengren
RePEc:aea:aecrev:v:90:y:2000:i:1:p:30-45;Collateral Damage: Effects of the Japanese Bank Crisis on Real Activity in the United States;American Economic Review;2000;90;1;30;45;Joe Peek
RePEc:aea:aecrev:v:90:y:2000:i:1:p:46-72;Endogenous Inequality in Integrated Labor Markets with Two-Sided Search;American Economic Review;2000;90;1;46;72;Larry Samuelson
RePEc:aea:aecrev:v:90:y:2000:i:1:p:46-72;Endogenous Inequality in Integrated Labor Markets with Two-Sided Search;American Economic Review;2000;90;1;46;72;George J. Mailath
RePEc:aea:aecrev:v:90:y:2000:i:1:p:46-72;Endogenous Inequality in Integrated Labor Markets with Two-Sided Search;American Economic Review;2000;90;1;46;72;Avner Shaked
RePEc:aea:aecrev:v:90:y:2000:i:1:p:73-95;Labor-Market Integration, Investment in Risky Human Capital, and Fiscal Competition;American Economic Review;2000;90;1;73;95;David E. Wildasin
RePEc:aea:aecrev:v:90:y:2000:i:1:p:96-129;Unequal Societies: Income Distribution and the Social Contract;American Economic Review;2000;90;1;96;129;Roland Benabou
RePEc:aea:aecrev:v:90:y:2000:i:1:p:130-146;Mobility, Targeting, and Private-School Vouchers;American Economic Review;2000;90;1;130;146;Thomas J. Nechyba
RePEc:aea:aecrev:v:90:y:2000:i:1:p:147-165;Liberalization, Moral Hazard in Banking, and Prudential Regulation: Are Capital Requirements Enough?;American Economic Review;2000;90;1;147;165;Kevin C. Murdock
RePEc:aea:aecrev:v:90:y:2000:i:1:p:147-165;Liberalization, Moral Hazard in Banking, and Prudential Regulation: Are Capital Requirements Enough?;American Economic Review;2000;90;1;147;165;Thomas F. Hellmann
RePEc:aea:aecrev:v:90:y:2000:i:1:p:147-165;Liberalization, Moral Hazard in Banking, and Prudential Regulation: Are Capital Requirements Enough?;American Economic Review;2000;90;1;147;165;Joseph E. Stiglitz
RePEc:aea:aecrev:v:90:y:2000:i:1:p:166-193;ERC: A Theory of Equity, Reciprocity, and Competition;American Economic Review;2000;90;1;166;193;Axel Ockenfels
RePEc:aea:aecrev:v:90:y:2000:i:1:p:166-193;ERC: A Theory of Equity, Reciprocity, and Competition;American Economic Review;2000;90;1;166;193;Gary E. Bolton
RePEc:aea:aecrev:v:90:y:2000:i:1:p:194-211;The Choice between Market Failures and Corruption;American Economic Review;2000;90;1;194;211;Thierry Verdier
RePEc:aea:aecrev:v:90:y:2000:i:1:p:194-211;The Choice between Market Failures and Corruption;American Economic Review;2000;90;1;194;211;Daron Acemoglu
RePEc:aea:aecrev:v:90:y:2000:i:1:p:212-234;Elephants;American Economic Review;2000;90;1;212;234;Charles Morcom
RePEc:aea:aecrev:v:90:y:2000:i:1:p:212-234;Elephants;American Economic Review;2000;90;1;212;234;Michael Kremer
