idd,journal,year,author,name,Short-Id
2176,American Economic Review,2010.0,a. joshua strickland,,
2178,Review of Economic Studies,2014.0,a. norets,,
2179,Econometrica,2010.0,a. pakes,,
2180,Econometrica,2015.0,a. pakes,,
2181,Review of Economic Studies,2001.0,a. w. beggs,,
2182,American Economic Review,2017.0,aaron k. chatterji,,
2185,The Quarterly Journal of Economics,2000.0,aart kraay,,
2186,The Quarterly Journal of Economics,2012.0,aart kraay,,
2192,American Economic Review,2007.0,abraham l. wickelgren,,
2195,The Quarterly Journal of Economics,2016.0,adair morse,,
2196,Econometrica,2008.0,adam brandenburger,,
2198,Journal of Political Economy,2017.0,adam isen,,
2199,The Quarterly Journal of Economics,2016.0,adam isen,,
2200,The Quarterly Journal of Economics,2013.0,adam kalai,,
2201,American Economic Review,2009.0,adam looney,,
2206,Journal of Political Economy,2019.0,adam meirowitz,,
2207,Review of Economic Studies,2017.0,adam s. booij,,
2208,Econometrica,2018.0,adam sanjurjo,,
2209,American Economic Review,2008.0,adi brender,,
2210,American Economic Review,2018.0,aditya shrinivas,,
2215,Review of Economic Studies,2007.0,adolfo de motta,,
2216,Review of Economic Studies,2013.0,adrian beck,,
2217,American Economic Review,2012.0,adriana d. kugler,,
2220,The Quarterly Journal of Economics,2019.0,ahmed tahoun,,
2224,American Economic Review,2001.0,ajeyo banerjee,,
2225,The Quarterly Journal of Economics,2004.0,akhmed akhmedov,,
2226,Journal of Political Economy,2001.0,akram temimi,,
2231,American Economic Review,2016.0,alaka holla,,
2232,American Economic Review,2000.0,alan b. krueger,,
2233,The Quarterly Journal of Economics,2002.0,alan b. krueger,,
2234,Journal of Political Economy,2004.0,alan b. krueger,,
2239,American Economic Review,2016.0,alan fuchs,,
2243,American Economic Review,2019.0,alan kwan,,
2245,Journal of Political Economy,2004.0,alan s. frankel,,
2246,Journal of Political Economy,2009.0,alan sorensen,,
2247,American Economic Review,2011.0,alan sorensen,,
2248,Review of Economic Studies,2014.0,alan sorensen,,
2249,Journal of Political Economy,2000.0,alan t. sorensen,,
2251,American Economic Review,2018.0,albert h. choi,,
2252,Review of Economic Studies,2018.0,albert s kyle,,
2253,Econometrica,2016.0,albert s. kyle,,
2257,Econometrica,2006.0,alejandro jofre,,
2258,American Economic Review,2019.0,alejandro martínez-marquina,,
2259,Econometrica,2016.0,alejandro rivera,,
2260,Econometrica,2015.0,alessandro chiesa,,
2261,Econometrica,2010.0,alessandro citanna,,
2262,American Economic Review,2019.0,alessandro dovis,,
2263,Review of Economic Studies,2019.0,alessandro dovis,,
2264,Review of Economic Studies,2018.0,alessandro graniero,,
2265,The Quarterly Journal of Economics,2018.0,alessandro iaria,,
2266,Econometrica,2005.0,alex a. himonas,,
2267,Review of Economic Studies,2013.0,alex boulatov,,
2268,Journal of Political Economy,2019.0,alex frankel,,
2269,American Economic Review,2000.0,alex lammertsma,,
2273,Journal of Political Economy,2013.0,alexander david,,
2274,American Economic Review,2014.0,alexander frankel,,
2275,American Economic Review,2019.0,alexander frankel,,
2276,Journal of Political Economy,2015.0,alexander frankel,,
2277,Journal of Political Economy,2001.0,alexander galetovic,,
2281,Econometrica,2007.0,alexander klein,,
2284,Review of Economic Studies,2017.0,alexander meister,,
2285,American Economic Review,2011.0,alexander s. gorbenko,,
2286,American Economic Review,2013.0,alexander strand,,
2287,American Economic Review,2015.0,alexander v. hirsch,,
2292,Journal of Political Economy,2013.0,alexander westkamp,,
2293,American Economic Review,2013.0,alexandra killewald,,
2294,American Economic Review,2016.0,alexandra roulet,,
2295,Review of Economic Studies,2014.0,alexandre belloni,,
2296,Econometrica,2013.0,alexey kushnir,,
2298,American Economic Review,2014.0,ali horta?su,,
2299,Journal of Political Economy,2007.0,ali hortaã§su,,
2300,Econometrica,2012.0,ali hortaçsu,,
2301,American Economic Review,2008.0,ali hortaçsu,,
2302,American Economic Review,2019.0,ali hortaçsu,,
2303,Journal of Political Economy,2010.0,ali hortaçsu,,
2304,Econometrica,2017.0,ali hortaçsu,,
2305,The Quarterly Journal of Economics,2019.0,ali hortaçsu,,
2306,Journal of Political Economy,2017.0,ali hortaçsu,,
2307,American Economic Review,2010.0,ali hortaçsu,,
2308,American Economic Review,2017.0,ali hortaçsu,,
2309,The Quarterly Journal of Economics,2004.0,ali hortaçsu,,
2310,American Economic Review,2018.0,ali hortaçsu,,
2311,American Economic Review,2016.0,ali raja,,
2316,The Quarterly Journal of Economics,2011.0,alix peterson zwane,,
2317,Econometrica,2015.0,allan sly,,
2318,Journal of Political Economy,2006.0,allen r. sanderson,,
2319,American Economic Review,2018.0,allen zhang,,
2320,Econometrica,2002.0,aloisio araujo,,
2321,Econometrica,2018.0,aloisio araujo,,
2322,Journal of Political Economy,2002.0,alon brav,,
2323,The Quarterly Journal of Economics,2013.0,alp simsek,,
2324,Econometrica,2013.0,alp simsek,,
2325,American Economic Review,2016.0,alp simsek,,
2326,The Quarterly Journal of Economics,2014.0,alp simsek,,
2328,American Economic Review,2013.0,alvaro j. name-correa,,
2329,Review of Economic Studies,2003.0,alvaro sandroni,,
2330,Econometrica,2000.0,alvaro sandroni,,
2331,American Economic Review,2014.0,alvaro sandroni,,
2332,American Economic Review,2007.0,alvaro sandroni,,
2333,Econometrica,2008.0,alvaro sandroni,,
2334,American Economic Review,2011.0,alvaro sandroni,,
2347,American Economic Review,2014.0,alwyn young,,
2348,Journal of Political Economy,2003.0,alwyn young,,
2349,The Quarterly Journal of Economics,2019.0,alwyn young,,
2350,Journal of Political Economy,2012.0,alwyn young,,
2351,The Quarterly Journal of Economics,2013.0,alwyn young,,
2352,The Quarterly Journal of Economics,2000.0,alwyn young,,
2353,The Quarterly Journal of Economics,2005.0,alwyn young,,
2360,American Economic Review,2014.0,amanda pallais,,
2361,American Economic Review,2017.0,amanda pallais,,
2362,The Quarterly Journal of Economics,2017.0,amanda pallais,,
2363,Journal of Political Economy,2016.0,amanda pallais,,
2364,American Economic Review,2017.0,amanda pallais,,
2365,Review of Economic Studies,2019.0,amanda starc,,
2366,The Quarterly Journal of Economics,2016.0,amedeo piolatto,,
2367,Review of Economic Studies,2004.0,amil dasgupta,,
2368,Journal of Political Economy,2002.0,amil petrin,,
2369,Review of Economic Studies,2003.0,amil petrin,,
2370,Econometrica,2004.0,amil petrin,,
2371,American Economic Review,2017.0,amir kermani,,
2372,American Economic Review,2016.0,amira abulafi,,
2373,Econometrica,2013.0,amit gandhi,,
2374,Review of Economic Studies,2015.0,amit gandhi,,
2381,The Quarterly Journal of Economics,2012.0,amy k. dittmar,,
2382,Journal of Political Economy,2003.0,ana castaneda,,
2383,Econometrica,2011.0,ana cecília fieler,,
2384,American Economic Review,2018.0,ana cecília fieler,,
2385,Review of Economic Studies,2012.0,ana santiago,,
2386,Review of Economic Studies,2014.0,analía schlosser,,
2388,Econometrica,2001.0,"anderlini, luca",,
2389,The Quarterly Journal of Economics,2006.0,anders björklund,,
2390,Review of Economic Studies,2005.0,anders karlström,,
2391,Econometrica,2006.0,anders rygh swensen,,
2392,Journal of Political Economy,2019.0,andis sofianos,,
2393,American Economic Review,2014.0,andr? kurmann,,
2394,American Economic Review,2013.0,andr? kurmann,,
2396,American Economic Review,2008.0,andrea generale,,
2397,Econometrica,2015.0,andrea szabó,,
2398,Econometrica,2014.0,andrea wilson,,
2399,Review of Economic Studies,2014.0,andreas grunewald,,
2400,Journal of Political Economy,2010.0,andreas herrmann,,
2405,American Economic Review,2019.0,andreas kostøl,,
2406,American Economic Review,2014.0,andreas ravndal kostol,,
2407,The Quarterly Journal of Economics,2014.0,andreas ravndal kostøl,,
2408,American Economic Review,2019.0,andreas stathopoulos,,
2409,Review of Economic Studies,2007.0,andres almazan,,
2410,American Economic Review,2015.0,andres babino,,
2411,The Quarterly Journal of Economics,2001.0,andres velasco,,
