,journal,year,author,name,Short-Id
0,American Economic Review,2000.0,D. Gale Johnson,D. Gale Johnson,pjo254
2,American Economic Review,2000.0,Boyan Jovanovic,Boyan Jovanovic,pjo20
4,American Economic Review,2000.0,Joe Peek,Joe Peek,ppe90
5,American Economic Review,2000.0,Larry Samuelson,Larry Samuelson,psa80
6,American Economic Review,2000.0,George J. Mailath,George J. Mailath,pma6
9,American Economic Review,2000.0,Roland Benabou,Roland Benabou,pbe27
14,American Economic Review,2000.0,Axel Ockenfels,Axel Ockenfels,poc7
15,American Economic Review,2000.0,Gary E. Bolton,Gary E. Bolton,pbo138
17,American Economic Review,2000.0,Daron Acemoglu,Daron Acemoglu,pac16
20,American Economic Review,2000.0,Dan Bernhardt,Dan Bernhardt,pbe65
22,American Economic Review,2000.0,Josef Falkinger,Josef Falkinger,pfa72
34,American Economic Review,2000.0,Frank Heinemann,Frank Heinemann,phe217
46,American Economic Review,2000.0,Robert A. Mundell,Robert A. Mundell,pmu18
50,American Economic Review,2000.0,Harald Uhlig,Harald Uhlig,puh1
51,American Economic Review,2000.0,Lars Ljungqvist,Lars Ljungqvist,plj7
52,American Economic Review,2000.0,Jeffrey C. Fuhrer,Jeffrey C. Fuhrer,pfu8
60,American Economic Review,2000.0,Garey Ramey,Garey Ramey,pra338
62,American Economic Review,2000.0,Joel Watson,Joel Watson,pwa36
64,American Economic Review,2000.0,Wolfgang Pesendorfer,Wolfgang Pesendorfer,ppe7
65,American Economic Review,2000.0,Robert T. Deacon,Robert T. Deacon,pde469
66,American Economic Review,2000.0,Henning Bohn,Henning Bohn,pbo25
68,American Economic Review,2000.0,Emmanuelle Auriol,Emmanuelle Auriol,pau5
69,American Economic Review,2000.0,Peter Kooreman,Peter Kooreman,pko248
76,American Economic Review,2000.0,Kim-Sau Chung,Kim-Sau Chung,pch330
77,American Economic Review,2000.0,Jaewoo Lee,Jaewoo Lee,ple103
79,American Economic Review,2000.0,Kwanho Shin,Kwanho Shin,psh131
80,American Economic Review,2000.0,Jaewoo Lee,Jaewoo Lee,ple103
81,American Economic Review,2000.0,Michel Strawczynski,Michel Strawczynski,pst480
82,American Economic Review,2000.0,Momi Dahan,Momi Dahan,pda178
85,American Economic Review,2000.0,Marco Ottaviani,Marco Ottaviani,pot1
90,American Economic Review,2000.0,Raymond Robertson,Raymond Robertson,pro310
92,American Economic Review,2000.0,Susan Athey,Susan Athey,pat6
98,American Economic Review,2000.0,Oded Galor,Oded Galor,pga46
99,American Economic Review,2000.0,Peter Howitt,Peter Howitt,pho22
100,American Economic Review,2000.0,David Dollar,David Dollar,pdo54
101,American Economic Review,2000.0,Craig Burnside,Craig Burnside,pbu20
104,American Economic Review,2000.0,John Hassler,John Hassler,pha2
105,American Economic Review,2000.0,Jaume Ventura,Jaume Ventura,pve110
106,American Economic Review,2000.0,Francesco Caselli,Francesco Caselli,pca205
108,American Economic Review,2000.0,Martin J. Osborne,Martin J. Osborne,pos1
110,American Economic Review,2000.0,David E. M. Sappington,David E. M. Sappington,psa323
111,American Economic Review,2000.0,Tracy R. Lewis,Tracy R. Lewis,ple417
114,American Economic Review,2000.0,Joseph Henrich,Joseph Henrich,phe292
116,American Economic Review,2000.0,Ernst Fehr,Ernst Fehr,pfe29
117,American Economic Review,2000.0,R. Mark Isaac,R. Mark Isaac,pis15
122,American Economic Review,2000.0,Lones Smith,Lones Smith,psm1
123,American Economic Review,2000.0,Pascal St-Amour,Pascal St-Amour,pst64
124,American Economic Review,2000.0,Stephen Gordon,Stephen Gordon,pgo166
127,American Economic Review,2000.0,Jacob Glazer,Jacob Glazer,pgl69
130,American Economic Review,2000.0,Philippe Bacchetta,Philippe Bacchetta,pba111
131,American Economic Review,2000.0,Cormac O Grada,Cormac O Grada,pog2
132,American Economic Review,2000.0,Morgan Kelly,Morgan Kelly,pke135
135,American Economic Review,2000.0,Stephanie Schmitt-Grohe,Stephanie Schmitt-Grohe,psc44
142,American Economic Review,2000.0,Giovanni Maggi,Giovanni Maggi,pma1315
144,American Economic Review,2000.0,Enrico Spolaore,Enrico Spolaore,psp27
145,American Economic Review,2000.0,Alberto Alesina,Alberto Alesina,pal207
146,American Economic Review,2000.0,Romain Wacziarg,Romain Wacziarg,pwa67
147,American Economic Review,2000.0,Eran Yashiv,Eran Yashiv,pya27
151,American Economic Review,2000.0,William Wascher,William Wascher,pwa356
152,American Economic Review,2000.0,David Neumark,David Neumark,pne16
155,American Economic Review,2000.0,Alan S. Blinder,Alan S. Blinder,pbl41
156,American Economic Review,2000.0,Christopher Hanes,Christopher Hanes,pha665
159,American Economic Review,2000.0,Charles L. Evans,Charles L. Evans,pev23
162,American Economic Review,2000.0,William C. Strange,William C. Strange,pst178
163,American Economic Review,2000.0,Robert W. Helsley,Robert W. Helsley,phe158
165,American Economic Review,2000.0,Giacomo Corneo,Giacomo Corneo,pco636
166,American Economic Review,2000.0,Eckhard Janeba,Eckhard Janeba,pja312
168,American Economic Review,2000.0,Zhiqi Chen,Zhiqi Chen,pch481
172,American Economic Review,2001.0,John T. Warner,John T. Warner,pwa308
173,American Economic Review,2001.0,Larry H. P. Lang,Larry H. P. Lang,pla299
174,American Economic Review,2001.0,Mara Faccio,Mara Faccio,pfa220
175,American Economic Review,2001.0,Leslie Young,Leslie Young,pyo123
176,American Economic Review,2001.0,Richard H. Thaler,Richard H. Thaler,pth67
179,American Economic Review,2001.0,John Y. Campbell,John Y. Campbell,pca54
182,American Economic Review,2001.0,Michele Boldrin,Michele Boldrin,pbo31
184,American Economic Review,2001.0,Stephanie Schmitt-Grohe,Stephanie Schmitt-Grohe,psc44
185,American Economic Review,2001.0,Jess Benhabib,Jess Benhabib,pbe53
186,American Economic Review,2001.0,Martin Uribe,Martin Uribe,pur9
187,American Economic Review,2001.0,Pedro Portugal,Pedro Portugal,ppo66
188,American Economic Review,2001.0,Olivier Blanchard,Olivier Blanchard,pbl2
189,American Economic Review,2001.0,Curtis R. Taylor,Curtis R. Taylor,pta252
190,American Economic Review,2001.0,Thomas D. Jeitschko,Thomas D. Jeitschko,pje27
191,American Economic Review,2001.0,Nicola Persico,Nicola Persico,ppe261
192,American Economic Review,2001.0,Alessandro Lizzeri,Alessandro Lizzeri,pli177
195,American Economic Review,2001.0,Martin L. Weitzman,Martin L. Weitzman,pwe175
196,American Economic Review,2001.0,William J. Collins,William J. Collins,pco315
198,American Economic Review,2001.0,Richard H. Steckel,Richard H. Steckel,pst352
199,American Economic Review,2001.0,Farley Grubb,Farley Grubb,pgr272
201,American Economic Review,2001.0,Paul H. Malatesta,Paul H. Malatesta,pma1638
204,American Economic Review,2001.0,Rafael Di Tella,Rafael Di Tella,pdi128
205,American Economic Review,2001.0,Andrew J. Oswald,Andrew J. Oswald,pos21
206,American Economic Review,2001.0,Hessel Oosterbeek,Hessel Oosterbeek,poo5
207,American Economic Review,2001.0,Edwin Leuven,Edwin Leuven,ple65
211,American Economic Review,2001.0,David Genesove,David Genesove,pge30
213,American Economic Review,2001.0,Philip A. Haile,Philip A. Haile,pha381
215,American Economic Review,2001.0,Michael R. Baye,Michael R. Baye,pba279
216,American Economic Review,2001.0,John Morgan,John Morgan,pmo131
221,American Economic Review,2001.0,Yeon-Koo Che,Yeon-Koo Che,pch91
223,American Economic Review,2001.0,Benny Moldovanu,Benny Moldovanu,pmo12
225,American Economic Review,2001.0,H. Peyton Young,H. Peyton Young,pyo43
227,American Economic Review,2001.0,David Altig,David Altig,pal429
228,American Economic Review,2001.0,Roberto Perotti,Roberto Perotti,ppe66
229,American Economic Review,2001.0,Arthur Lewbel,Arthur Lewbel,ple43
231,American Economic Review,2001.0,Sydney C. Ludvigson,Sydney C. Ludvigson,plu153
232,American Economic Review,2001.0,Alexander Michaelides,Alexander Michaelides,pmi112
233,American Economic Review,2001.0,Paul Beaudry,Paul Beaudry,pbe35
234,American Economic Review,2001.0,Mustafa Caglayan,Mustafa Caglayan,pca30
235,American Economic Review,2001.0,Fabio Schiantarelli,Fabio Schiantarelli,psc8
238,American Economic Review,2001.0,Martin Browning,Martin Browning,pbr221
239,American Economic Review,2001.0,M. Dolores Collado,M. Dolores Collado,pco161
241,American Economic Review,2001.0,James R. Markusen,James R. Markusen,pma528
242,American Economic Review,2001.0,Keith E. Maskus,Keith E. Maskus,pma232
243,American Economic Review,2001.0,Massimo Bordignon,Massimo Bordignon,pbo259
244,American Economic Review,2001.0,Paolo Manasse,Paolo Manasse,pma149
245,American Economic Review,2001.0,Guido Tabellini,Guido Tabellini,pta37
246,American Economic Review,2001.0,Tracy R. Lewis,Tracy R. Lewis,ple417
247,American Economic Review,2001.0,David E. M. Sappington,David E. M. Sappington,psa323
248,American Economic Review,2001.0,Dieter Balkenborg,Dieter Balkenborg,pba181
254,American Economic Review,2001.0,Esther Duflo,Esther Duflo,pdu166
255,American Economic Review,2001.0,Sandra E. Black,Sandra E. Black,pbl92
257,American Economic Review,2001.0,B. Douglas Bernheim,B. Douglas Bernheim,pbe81
258,American Economic Review,2001.0,Jonathan Skinner,Jonathan Skinner,psk23
260,American Economic Review,2001.0,Keith Head,Keith Head,phe156
261,American Economic Review,2001.0,John Ries,John Ries,pri96
262,American Economic Review,2001.0,Werner Antweiler,Werner Antweiler,pan25
263,American Economic Review,2001.0,Brian R. Copeland,Brian R. Copeland,pco51
264,American Economic Review,2001.0,M. Scott Taylor,M. Scott Taylor,pta60
266,American Economic Review,2001.0,Leonard Waverman,Leonard Waverman,pwa233
267,American Economic Review,2001.0,Hanming Fang,Hanming Fang,pfa17
268,American Economic Review,2001.0,Daron Acemoglu,Daron Acemoglu,pac16
270,American Economic Review,2001.0,Athanasios Orphanides,Athanasios Orphanides,por35
271,American Economic Review,2001.0,Jesper Linde,Jesper Linde,pli302
275,American Economic Review,2001.0,Robert J. Shiller,Robert J. Shiller,psh69
280,American Economic Review,2001.0,Bruce A. Weinberg,Bruce A. Weinberg,pwe74
281,American Economic Review,2001.0,Marcus Asplund,Marcus Asplund,pas45
282,American Economic Review,2001.0,Richard Friberg,Richard Friberg,pfr105
283,American Economic Review,2001.0,John Piggott,John Piggott,ppi34
284,American Economic Review,2001.0,John Whalley,John Whalley,pwh8
285,American Economic Review,2001.0,Raymond Fisman,Raymond Fisman,pfi257
287,American Economic Review,2001.0,Anke S. Kessler,Anke S. Kessler,pke73
290,American Economic Review,2001.0,V. Kerry Smith,V. Kerry Smith,psm143
293,American Economic Review,2001.0,John T. Cuddington,John T. Cuddington,pcu153
295,American Economic Review,2001.0,Gerard Gaudet,Gerard Gaudet,pga5
296,American Economic Review,2001.0,Michel Moreaux,Michel Moreaux,pmo364
298,American Economic Review,2001.0,Anders Sorensen,Anders Sorensen,psr9
299,American Economic Review,2001.0,Andrew B. Bernard,Andrew B. Bernard,pbe478
300,American Economic Review,2001.0,Charles I. Jones,Charles I. Jones,pjo24
306,American Economic Review,2001.0,Bart Hobijn,Bart Hobijn,pho54
