handle;title;journal;year;vol;issue;page;end page;author
RePEc:ucp:jpolec:v:108:y:2000:i:2:p:213-244;On the State of the Union;Journal of Political Economy;2000;108;2;213;244;S. Rao Aiyagari
RePEc:ucp:jpolec:v:108:y:2000:i:2:p:213-244;On the State of the Union;Journal of Political Economy;2000;108;2;213;244;Jeremy Greenwood
RePEc:ucp:jpolec:v:108:y:2000:i:2:p:213-244;On the State of the Union;Journal of Political Economy;2000;108;2;213;244;Nezih Guner
RePEc:ucp:jpolec:v:108:y:2000:i:2:p:245-272;Putting Auction Theory to Work: The Simultaneous Ascending Auction;Journal of Political Economy;2000;108;2;245;272;Paul Milgrom
RePEc:ucp:jpolec:v:108:y:2000:i:2:p:273-299;Do Incentives Matter? Managerial Contracts for Dual-Purpose Funds;Journal of Political Economy;2000;108;2;273;299;Michael L. Lemmon
RePEc:ucp:jpolec:v:108:y:2000:i:2:p:273-299;Do Incentives Matter? Managerial Contracts for Dual-Purpose Funds;Journal of Political Economy;2000;108;2;273;299;James S. Schallheim
RePEc:ucp:jpolec:v:108:y:2000:i:2:p:273-299;Do Incentives Matter? Managerial Contracts for Dual-Purpose Funds;Journal of Political Economy;2000;108;2;273;299;Jaime F. Zender
RePEc:ucp:jpolec:v:108:y:2000:i:2:p:300-323;Sustaining Fiscal Policy through Immigration;Journal of Political Economy;2000;108;2;300;323;Kjetil Storesletten
RePEc:ucp:jpolec:v:108:y:2000:i:2:p:324-351;Equity, Bonds, and Bank Debt: Capital Structure and Financial Market Equilibrium under Asymmetric Information;Journal of Political Economy;2000;108;2;324;351;Patrick Bolton
RePEc:ucp:jpolec:v:108:y:2000:i:2:p:324-351;Equity, Bonds, and Bank Debt: Capital Structure and Financial Market Equilibrium under Asymmetric Information;Journal of Political Economy;2000;108;2;324;351;Xavier Freixas
RePEc:ucp:jpolec:v:108:y:2000:i:2:p:352-378;What Happens When You Tax the Rich? Evidence from Executive Compensation;Journal of Political Economy;2000;108;2;352;378;Austan Goolsbee
RePEc:ucp:jpolec:v:108:y:2000:i:2:p:379-421;Effects of Air Quality Regulations on Polluting Industries;Journal of Political Economy;2000;108;2;379;421;Randy Becker
RePEc:ucp:jpolec:v:108:y:2000:i:2:p:379-421;Effects of Air Quality Regulations on Polluting Industries;Journal of Political Economy;2000;108;2;379;421;Vernon Henderson
RePEc:ucp:jpolec:v:108:y:2000:i:2:p:422-451;Redistribution in a Decentralized Economy: Growth and Inflation in China under Reform;Journal of Political Economy;2000;108;2;422;451;Loren Brandt
RePEc:ucp:jpolec:v:108:y:2000:i:2:p:422-451;Redistribution in a Decentralized Economy: Growth and Inflation in China under Reform;Journal of Political Economy;2000;108;2;422;451;Xiaodong Zhu
RePEc:ucp:jpolec:v:108:y:2000:i:3:p:441-465;What Did Smith Mean by the Invisible Hand?;Journal of Political Economy;2000;108;3;441;465;William D. Grampp
RePEc:ucp:jpolec:v:108:y:2000:i:3:p:466-502;Prices Rise Faster than They Fall;Journal of Political Economy;2000;108;3;466;502;Sam Peltzman
RePEc:ucp:jpolec:v:108:y:2000:i:3:p:503-530;Estimating Preferences under Risk: The Case of Racetrack Bettors;Journal of Political Economy;2000;108;3;503;530;Bruno Jullien
RePEc:ucp:jpolec:v:108:y:2000:i:3:p:503-530;Estimating Preferences under Risk: The Case of Racetrack Bettors;Journal of Political Economy;2000;108;3;503;530;Bernard Salanie
RePEc:ucp:jpolec:v:108:y:2000:i:3:p:531-568;The Dynamics of Political Compromise;Journal of Political Economy;2000;108;3;531;568;Avinash Dixit
RePEc:ucp:jpolec:v:108:y:2000:i:3:p:531-568;The Dynamics of Political Compromise;Journal of Political Economy;2000;108;3;531;568;Gene M. Grossman
RePEc:ucp:jpolec:v:108:y:2000:i:3:p:531-568;The Dynamics of Political Compromise;Journal of Political Economy;2000;108;3;531;568;Faruk Gul
RePEc:ucp:jpolec:v:108:y:2000:i:3:p:569-589;Let's Agree That All Dictatorships Are Equally Bad;Journal of Political Economy;2000;108;3;569;589;Uzi Segal
RePEc:ucp:jpolec:v:108:y:2000:i:3:p:590-603;A Market Test for Discrimination in the English Professional Soccer Leagues;Journal of Political Economy;2000;108;3;590;603;Stefan Szymanski
RePEc:ucp:jpolec:v:108:y:2000:i:3:p:604-631;Does Entrepreneurship Pay? An Empirical Analysis of the Returns to Self-Employment;Journal of Political Economy;2000;108;3;604;631;Barton H. Hamilton
RePEc:ucp:jpolec:v:108:y:2000:i:3:p:632-661;Intellectual Collaboration;Journal of Political Economy;2000;108;3;632;661;David N. Laband
RePEc:ucp:jpolec:v:108:y:2000:i:3:p:632-661;Intellectual Collaboration;Journal of Political Economy;2000;108;3;632;661;Robert D. Tollison
RePEc:ucp:jpolec:v:108:y:2000:i:4:p:663-679;Is Child Labor Inefficient?;Journal of Political Economy;2000;108;4;663;679;Jean-Marie Baland
RePEc:ucp:jpolec:v:108:y:2000:i:4:p:663-679;Is Child Labor Inefficient?;Journal of Political Economy;2000;108;4;663;679;James A. Robinson
