handle;title;journal;year;vol;issue;page;end page;author
RePEc:oup:qjecon:v:115:y:2000:i:1:p:1-44.;What Marshall Didn't Know: On the Twentieth Century's Contributions to Economics;The Quarterly Journal of Economics;2000;115;1;1;44;William J. Baumol
RePEc:oup:qjecon:v:115:y:2000:i:1:p:45-97.;Causal Parameters and Policy Analysis in Economics: A Twentieth Century Retrospective;The Quarterly Journal of Economics;2000;115;1;45;97;James J. Heckman
RePEc:oup:qjecon:v:115:y:2000:i:1:p:99-146.;Economic Imperialism;The Quarterly Journal of Economics;2000;115;1;99;146;Edward P. Lazear
RePEc:oup:qjecon:v:115:y:2000:i:1:p:147-180.;Monetary Policy Rules and Macroeconomic Stability: Evidence and Some Theory;The Quarterly Journal of Economics;2000;115;1;147;180;Richard Clarida
RePEc:oup:qjecon:v:115:y:2000:i:1:p:147-180.;Monetary Policy Rules and Macroeconomic Stability: Evidence and Some Theory;The Quarterly Journal of Economics;2000;115;1;147;180;Jordi Galí
RePEc:oup:qjecon:v:115:y:2000:i:1:p:147-180.;Monetary Policy Rules and Macroeconomic Stability: Evidence and Some Theory;The Quarterly Journal of Economics;2000;115;1;147;180;Mark Gertler
RePEc:oup:qjecon:v:115:y:2000:i:1:p:181-200.;Rational Debate and One-Dimensional Conflict;The Quarterly Journal of Economics;2000;115;1;181;200;David Spector
RePEc:oup:qjecon:v:115:y:2000:i:1:p:201-235.;The Dynamics of Reorganization in Matching Markets: A Laboratory Experiment Motivated by a Natural Experiment;The Quarterly Journal of Economics;2000;115;1;201;235;John H. Kagel
RePEc:oup:qjecon:v:115:y:2000:i:1:p:201-235.;The Dynamics of Reorganization in Matching Markets: A Laboratory Experiment Motivated by a Natural Experiment;The Quarterly Journal of Economics;2000;115;1;201;235;Alvin E. Roth
RePEc:oup:qjecon:v:115:y:2000:i:1:p:237-263.;Economic Profitability Versus Ecological Entropy;The Quarterly Journal of Economics;2000;115;1;237;263;Martin L. Weitzman
RePEc:oup:qjecon:v:115:y:2000:i:1:p:265-284.;The Nonneutrality of Monetary Policy with Large Price or Wage Setters;The Quarterly Journal of Economics;2000;115;1;265;284;David Soskice
RePEc:oup:qjecon:v:115:y:2000:i:1:p:265-284.;The Nonneutrality of Monetary Policy with Large Price or Wage Setters;The Quarterly Journal of Economics;2000;115;1;265;284;Torben Iversen
RePEc:oup:qjecon:v:115:y:2000:i:1:p:285-304.;Resolving Indeterminacy in Dynamic Settings: The Role of Shocks;The Quarterly Journal of Economics;2000;115;1;285;304;David Frankel
RePEc:oup:qjecon:v:115:y:2000:i:1:p:285-304.;Resolving Indeterminacy in Dynamic Settings: The Role of Shocks;The Quarterly Journal of Economics;2000;115;1;285;304;Ady Pauzner
RePEc:oup:qjecon:v:115:y:2000:i:1:p:305-339.;Policy Boards and Policy Smoothing;The Quarterly Journal of Economics;2000;115;1;305;339;Christopher J. Waller
RePEc:oup:qjecon:v:115:y:2000:i:2:p:341-388.;Efficient Auctions;The Quarterly Journal of Economics;2000;115;2;341;388;Partha Dasgupta
RePEc:oup:qjecon:v:115:y:2000:i:2:p:341-388.;Efficient Auctions;The Quarterly Journal of Economics;2000;115;2;341;388;Eric Maskin
RePEc:oup:qjecon:v:115:y:2000:i:2:p:389-430.;Land Reform, Poverty Reduction, and Growth: Evidence from India;The Quarterly Journal of Economics;2000;115;2;389;430;Timothy Besley
RePEc:oup:qjecon:v:115:y:2000:i:2:p:389-430.;Land Reform, Poverty Reduction, and Growth: Evidence from India;The Quarterly Journal of Economics;2000;115;2;389;430;Robin Burgess
RePEc:oup:qjecon:v:115:y:2000:i:2:p:431-468.;Estimating the Labor Market Signaling Value of the GED;The Quarterly Journal of Economics;2000;115;2;431;468;John H. Tyler
RePEc:oup:qjecon:v:115:y:2000:i:2:p:431-468.;Estimating the Labor Market Signaling Value of the GED;The Quarterly Journal of Economics;2000;115;2;431;468;Richard J. Murnane
RePEc:oup:qjecon:v:115:y:2000:i:2:p:431-468.;Estimating the Labor Market Signaling Value of the GED;The Quarterly Journal of Economics;2000;115;2;431;468;John B. Willett
RePEc:oup:qjecon:v:115:y:2000:i:2:p:469-497.;Ability-Biased Technological Transition, Wage Inequality, and Economic Growth;The Quarterly Journal of Economics;2000;115;2;469;497;Oded Galor
RePEc:oup:qjecon:v:115:y:2000:i:2:p:469-497.;Ability-Biased Technological Transition, Wage Inequality, and Economic Growth;The Quarterly Journal of Economics;2000;115;2;469;497;Omer Moav
RePEc:oup:qjecon:v:115:y:2000:i:2:p:499-531.;Electoral Competition Under the Threat of Political Unrest;The Quarterly Journal of Economics;2000;115;2;499;531;Matthew Ellman
