handle;title;journal;year;vol;issue;page;end page;author
RePEc:oup:restud:v:67:y:2000:i:1:p:1-16.;Communication and Coordination in Social Networks;Review of Economic Studies;2000;67;1;1;16;Michael Suk-Young Chwe
RePEc:oup:restud:v:67:y:2000:i:1:p:17-45.;Basins of Attraction, Long-Run Stochastic Stability, and the Speed of Step-by-Step Evolution;Review of Economic Studies;2000;67;1;17;45;Glenn Ellison
RePEc:oup:restud:v:67:y:2000:i:1:p:47-56.;Noisy Contagion Without Mutation;Review of Economic Studies;2000;67;1;47;56;In Ho Lee
RePEc:oup:restud:v:67:y:2000:i:1:p:47-56.;Noisy Contagion Without Mutation;Review of Economic Studies;2000;67;1;47;56;Akos Valentinyi
RePEc:oup:restud:v:67:y:2000:i:1:p:57-78.;Contagion;Review of Economic Studies;2000;67;1;57;78;Stephen Morris
RePEc:oup:restud:v:67:y:2000:i:1:p:79-90.;Information Acquisition in Financial Markets;Review of Economic Studies;2000;67;1;79;90;Gadi Barlevy
RePEc:oup:restud:v:67:y:2000:i:1:p:79-90.;Information Acquisition in Financial Markets;Review of Economic Studies;2000;67;1;79;90;Pietro Veronesi
RePEc:oup:restud:v:67:y:2000:i:1:p:91-116.;Self-Fulfilling Debt Crises;Review of Economic Studies;2000;67;1;91;116;Harold L. Cole
RePEc:oup:restud:v:67:y:2000:i:1:p:91-116.;Self-Fulfilling Debt Crises;Review of Economic Studies;2000;67;1;91;116;Timothy J. Kehoe
RePEc:oup:restud:v:67:y:2000:i:1:p:117-145.;(S, s) Inventory Policies in General Equilibrium;Review of Economic Studies;2000;67;1;117;145;Jonas D. M. Fisher
RePEc:oup:restud:v:67:y:2000:i:1:p:117-145.;(S, s) Inventory Policies in General Equilibrium;Review of Economic Studies;2000;67;1;117;145;Andreas Hornstein
RePEc:oup:restud:v:67:y:2000:i:1:p:147-168.;Enterprise, Inequality and Economic Development;Review of Economic Studies;2000;67;1;147;168;Huw Lloyd-Ellis
RePEc:oup:restud:v:67:y:2000:i:1:p:147-168.;Enterprise, Inequality and Economic Development;Review of Economic Studies;2000;67;1;147;168;Dan Bernhardt
RePEc:oup:restud:v:67:y:2000:i:1:p:169-191.;Voting as Communicating;Review of Economic Studies;2000;67;1;169;191;Thomas Piketty
RePEc:oup:restud:v:67:y:2000:i:1:p:193-211.;Exchange Rate Dynamics in a Multilateral Target Zone;Review of Economic Studies;2000;67;1;193;211;Angel Serrat
RePEc:oup:restud:v:67:y:2000:i:2:p:213-234.;Experimentation in Markets;Review of Economic Studies;2000;67;2;213;234;Dirk Bergemann
RePEc:oup:restud:v:67:y:2000:i:2:p:213-234.;Experimentation in Markets;Review of Economic Studies;2000;67;2;213;234;Juuso Välimäki
RePEc:oup:restud:v:67:y:2000:i:2:p:235-254.;On the Effects of Entry in Cournot Markets;Review of Economic Studies;2000;67;2;235;254;Rabah Amir
RePEc:oup:restud:v:67:y:2000:i:2:p:235-254.;On the Effects of Entry in Cournot Markets;Review of Economic Studies;2000;67;2;235;254;Val E. Lambson
RePEc:oup:restud:v:67:y:2000:i:2:p:255-271.;Bargaining and Sharing Innovative Knowledge;Review of Economic Studies;2000;67;2;255;271;Claude d'Aspremont
RePEc:oup:restud:v:67:y:2000:i:2:p:255-271.;Bargaining and Sharing Innovative Knowledge;Review of Economic Studies;2000;67;2;255;271;Sudipto Bhattacharya
RePEc:oup:restud:v:67:y:2000:i:2:p:255-271.;Bargaining and Sharing Innovative Knowledge;Review of Economic Studies;2000;67;2;255;271;Louis-Andre Gerard-Varet
RePEc:oup:restud:v:67:y:2000:i:2:p:273-293.;Wage Bargaining, Inventories, and Union Legislation;Review of Economic Studies;2000;67;2;273;293;Melvyn G. Coles
RePEc:oup:restud:v:67:y:2000:i:2:p:273-293.;Wage Bargaining, Inventories, and Union Legislation;Review of Economic Studies;2000;67;2;273;293;Andrew K. G. Hildreth
RePEc:oup:restud:v:67:y:2000:i:2:p:295-307.;Ruling Out Multiplicity and Indeterminacy: The Role of Heterogeneity;Review of Economic Studies;2000;67;2;295;307;Berthold Herrendorf
RePEc:oup:restud:v:67:y:2000:i:2:p:295-307.;Ruling Out Multiplicity and Indeterminacy: The Role of Heterogeneity;Review of Economic Studies;2000;67;2;295;307;Akos Valentinyi
RePEc:oup:restud:v:67:y:2000:i:2:p:295-307.;Ruling Out Multiplicity and Indeterminacy: The Role of Heterogeneity;Review of Economic Studies;2000;67;2;295;307;Robert Waldmann
RePEc:oup:restud:v:67:y:2000:i:2:p:309-326.;The Scope of Anonymous Voluntary Bargaining Under Asymmetric Information;Review of Economic Studies;2000;67;2;309;326;Ehud Lehrer
RePEc:oup:restud:v:67:y:2000:i:2:p:309-326.;The Scope of Anonymous Voluntary Bargaining Under Asymmetric Information;Review of Economic Studies;2000;67;2;309;326;Zvika Neeman
RePEc:oup:restud:v:67:y:2000:i:2:p:327-358.;Dynamic Voluntary Contribution to a Public Project;Review of Economic Studies;2000;67;2;327;358;Leslie M. Marx
RePEc:oup:restud:v:67:y:2000:i:2:p:327-358.;Dynamic Voluntary Contribution to a Public Project;Review of Economic Studies;2000;67;2;327;358;Steven A. Matthews
RePEc:oup:restud:v:67:y:2000:i:2:p:359-378.;Incentives, Information, and Organizational Form;Review of Economic Studies;2000;67;2;359;378;Eric Maskin
