nombre,categoria,cargo,instucion,year,descrip-cargo,descrip-intitucion,descrip-year
STEPHEN COATE,revisar/anadir,Ph.D. in Economics,_,June 1988,revisar/anadir cargo,revisar/anadir institucion,0
STEPHEN COATE,revisar/anadir,M.A. in Public Policy and Planning,_,September 1981,revisar/anadir cargo,revisar/anadir institucion,0
STEPHEN COATE,revisar/anadir,Fellow of the Econometric Society,_,2004,revisar/anadir cargo,revisar/anadir institucion,0
STEPHEN COATE,fellow,Fellowship,_,1991 and 1994,0,revisar/anadir institucion,0
STEPHEN COATE,revisar/anadir,,Alfred P. Sloan Dissertation Fellowship,1987-1988,0,0,0
STEPHEN COATE,associate,Associate Editor,American Economic Review_June 1,2004 - Mar 31,0,revisar/anadir institucion,0
STEPHEN COATE,associate,Associate Editor,Quarterly Journal of Economics_September 1,2008 -,0,revisar/anadir institucion,0
STEPHEN COATE,associate,Associate Editor,Economic Policy_American Economic Journal_May 1,,0,0,revisar/anadir anio
STEPHEN COATE,revisar/anadir,253-273 (with Timothy Besley). (Awarded the Duncan Black Prize 2004 for the,_,March 2003,revisar/anadir cargo,revisar/anadir institucion,0
STEPHEN YEAPLE,revisar/anadir,Ph.D. University of Wisconsin - Madison,_,2000,revisar/anadir cargo,revisar/anadir institucion,0
STEPHEN YEAPLE,revisar/anadir,M.A. Economics,New York University,1995,revisar/anadir cargo,0,0
STEPHEN YEAPLE,revisar/anadir,B.A.,_Economics_Swarthmore College,1989,0,revisar/anadir intitucion,0
STEPHEN YEAPLE,professor,Professor,_,The Pennsylvania State University (2014 - present),0,revisar/anadir institucion,0
STEPHEN YEAPLE,professor,Associate Professor,_,The Pennsylvania State University (2008 - 2014),0,revisar/anadir institucion,0
STEPHEN YEAPLE,professor,Associate Professor,_,University of Colorado at Boulder (2007 - 2008),0,revisar/anadir institucion,0
STEPHEN YEAPLE,professor,Visiting Assistant Professor,_,Princeton University (2006-2007),0,revisar/anadir institucion,0
STEPHEN YEAPLE,professor,Assistant Professor,_,University of Pennsylvania (2000-2007),0,revisar/anadir institucion,0
STEPHEN YEAPLE,research,Research Associate,_Emerging Markets,Smith Barney (1994-1995),0,revisar/anadir intitucion,0
STEPHEN YEAPLE,associate,Associate Editor,Journal of International Economics,2005-2012.,0,0,0
STEPHEN YEAPLE,research,Research Associate,National Bureau of Economic Research_ITI Program_Current,,0,0,revisar/anadir anio
STEPHEN YEAPLE,revisar/anadir,National Science Foundation Research Grant (SES-1360209,_joint with Wolfgang,2014-2017),revisar/anadir cargo,revisar/anadir intitucion,0
STEPHEN YEAPLE,revisar/anadir,National Science Foundation Research Grant (SES-0422778,_joint with Volker,2004-2007),revisar/anadir cargo,revisar/anadir intitucion,0
STEPHEN YEAPLE,revisar/anadir,Peter Kenen Fellowship,_,Princeton University (2006),revisar/anadir cargo,revisar/anadir institucion,0
